ph,ec,oc,n,p,k,s,z,b,fe,mn,cu,name
6.01,0.34,3.78,77,34,21,17.84,0.89,0.81,5.73,3.28,0.3,Wheat
6.62,0.4,3.78,75,32,24,18.78,0.99,0.8,5.48,3.45,0.29,Wheat
6.3,0.28,3.83,61,36,24,17.05,0.89,0.76,5.91,2.98,0.25,Wheat
6.91,0.25,3.66,78,32,20,19.04,0.84,0.85,4.85,3.34,0.35,Wheat
6.88,0.34,3.05,72,38,21,19.24,0.86,0.8,5.19,3.46,0.29,Wheat
6.44,0.35,3.61,72,35,20,17.63,0.89,0.85,4.56,2.17,0.35,Wheat
6.26,0.35,3.02,72,39,20,18.64,0.96,0.86,5.67,3.28,0.26,Wheat
6.54,0.32,3.37,62,39,21,17.88,0.99,0.94,4.38,3.41,0.27,Wheat
6.18,0.23,3.48,79,35,22,19.53,0.91,0.9,5.51,2.06,0.29,Wheat
6.15,0.26,3.95,71,31,23,17.98,0.85,0.88,4.36,3.05,0.26,Wheat
6.37,0.35,3.72,68,36,21,16.44,0.88,0.89,4.04,2.59,0.28,Wheat
6.64,0.25,3.46,72,32,22,16.74,0.94,0.84,4.65,2.48,0.35,Wheat
6.75,0.33,3.64,71,37,24,15.74,0.96,0.8,4.36,2.86,0.25,Wheat
6.7,0.38,3.52,60,39,23,18.59,0.98,0.94,5.51,3.23,0.26,Wheat
6.15,0.23,3.85,66,33,21,17.22,0.9,0.91,5.54,3.17,0.34,Wheat
6.66,0.36,3.12,60,39,23,15.84,0.83,0.78,5.51,2.48,0.32,Wheat
6.43,0.31,3.45,62,37,21,17.49,0.91,0.83,5.16,3.33,0.29,Wheat
6.3,0.34,3.14,75,36,23,19.51,0.88,0.83,5.87,2.85,0.35,Wheat
6.84,0.35,3.51,64,35,22,16.7,0.82,0.75,4.91,2.88,0.32,Wheat
6.63,0.23,3.11,73,38,21,19.84,0.84,0.86,4.38,2.86,0.31,Wheat
6.62,0.28,3.36,78,32,21,19.75,0.86,0.84,5.04,2.32,0.35,Wheat
6.75,0.22,3.01,66,37,21,15.86,0.94,0.92,5.44,2.8,0.27,Wheat
6.52,0.21,3.72,62,38,22,17.76,0.93,0.91,4.28,2.49,0.33,Wheat
6.07,0.39,3.87,78,37,24,18.54,0.91,0.76,4.76,3.18,0.3,Wheat
6.3,0.28,3.12,65,39,20,19.69,0.85,0.86,5.76,2.47,0.32,Wheat
6.74,0.23,3.1,64,34,22,18.48,0.93,0.76,4.97,3.22,0.32,Wheat
6.22,0.32,3.65,72,33,24,16.46,0.82,0.93,4.29,2.53,0.29,Wheat
6.38,0.37,3.83,65,34,23,17.55,0.81,0.89,4.63,3.14,0.28,Wheat
6.02,0.24,3.28,69,31,23,19.06,0.96,0.78,4.56,2.31,0.27,Wheat
6.14,0.23,3.42,75,33,21,18.68,0.95,0.82,5.81,2.11,0.25,Wheat
6.37,0.33,3.88,67,35,21,19.72,0.91,0.87,4.87,2.02,0.28,Wheat
6.55,0.39,3.32,79,31,21,17.15,0.84,0.94,4.09,3.45,0.29,Wheat
6.37,0.33,3.23,65,37,21,17.44,0.86,0.79,5.71,2.91,0.35,Wheat
6.15,0.37,3.27,69,35,20,19.01,0.95,0.83,5.0,3.01,0.31,Wheat
6.49,0.39,3.4,71,31,22,16.6,0.8,0.85,5.8,3.45,0.3,Wheat
6.45,0.36,3.85,61,32,24,15.43,0.9,0.84,4.77,2.58,0.34,Wheat
6.78,0.4,3.88,67,38,21,15.61,0.88,0.77,4.97,3.13,0.26,Wheat
6.3,0.33,3.73,60,37,22,15.79,0.89,0.89,5.9,2.53,0.29,Wheat
6.66,0.33,3.41,64,31,24,18.55,0.97,0.9,4.22,2.54,0.3,Wheat
6.46,0.33,3.04,70,33,20,17.36,0.89,0.82,5.19,2.58,0.31,Wheat
6.73,0.3,3.9,62,38,20,16.65,0.88,0.94,4.52,3.14,0.27,Wheat
6.04,0.32,3.0,60,35,24,16.56,0.93,0.8,5.15,2.79,0.34,Wheat
6.24,0.35,3.59,79,37,24,15.33,0.82,0.93,4.24,3.41,0.33,Wheat
6.2,0.34,3.05,76,31,21,15.67,0.92,0.87,5.7,2.92,0.34,Wheat
6.02,0.31,3.08,69,35,20,16.55,0.9,0.95,5.61,2.66,0.25,Wheat
6.1,0.32,3.56,65,34,20,18.05,0.87,0.85,5.97,2.56,0.3,Wheat
6.67,0.3,3.61,62,36,23,18.73,0.97,0.79,4.23,3.07,0.35,Wheat
6.14,0.23,3.55,66,35,20,15.55,0.87,0.76,4.54,2.12,0.33,Wheat
6.74,0.3,3.93,60,38,22,18.57,0.89,0.78,5.57,3.41,0.35,Wheat
6.78,0.3,3.85,75,39,22,16.29,0.87,0.88,5.8,3.13,0.31,Wheat
6.97,0.36,3.11,78,37,20,18.99,0.93,0.75,5.4,2.89,0.35,Wheat
6.47,0.27,3.79,74,39,20,16.06,0.89,0.87,5.5,2.99,0.25,Wheat
6.52,0.24,3.3,76,31,20,16.53,0.84,0.87,4.73,2.92,0.29,Wheat
6.8,0.39,3.78,75,39,20,17.47,0.9,0.8,5.0,2.65,0.26,Wheat
6.3,0.21,3.11,69,34,20,19.61,0.95,0.87,4.2,2.64,0.32,Wheat
6.47,0.23,3.8,64,39,24,17.49,0.9,0.82,5.25,2.1,0.32,Wheat
6.03,0.4,3.16,69,38,24,18.72,0.96,0.9,5.21,3.48,0.33,Wheat
7.0,0.32,3.81,65,38,23,15.51,0.83,0.89,4.88,2.7,0.31,Wheat
6.96,0.22,3.19,68,30,20,18.45,0.85,0.93,4.75,3.25,0.3,Wheat
6.76,0.23,3.26,62,38,21,18.33,0.82,0.84,4.38,3.23,0.3,Wheat
6.82,0.37,3.49,72,36,22,15.33,0.89,0.95,5.07,2.12,0.3,Wheat
6.54,0.32,3.28,65,37,21,16.37,0.81,0.94,5.81,3.35,0.31,Wheat
6.51,0.27,3.74,67,33,21,19.56,0.85,0.86,5.3,3.24,0.32,Wheat
6.25,0.28,3.88,60,31,21,16.31,0.89,0.82,5.39,2.82,0.32,Wheat
6.82,0.37,3.68,61,37,21,18.13,1.0,0.9,4.6,2.13,0.26,Wheat
6.5,0.29,3.14,73,33,24,16.17,0.98,0.87,4.13,3.0,0.32,Wheat
6.88,0.34,3.5,62,39,21,15.2,0.87,0.83,5.19,2.19,0.27,Wheat
6.96,0.4,3.23,67,36,23,16.71,0.98,0.89,4.79,2.49,0.26,Wheat
7.0,0.25,3.53,71,37,20,17.34,0.9,0.8,5.58,3.01,0.29,Wheat
6.09,0.39,3.89,63,38,24,16.28,0.93,0.95,5.34,2.97,0.31,Wheat
6.78,0.4,3.48,75,39,24,18.66,0.8,0.79,5.84,2.73,0.35,Wheat
6.79,0.35,3.53,79,31,24,19.56,0.98,0.95,4.08,2.35,0.28,Wheat
6.67,0.35,3.9,74,38,20,19.37,0.91,0.83,5.17,2.34,0.27,Wheat
6.28,0.32,3.28,66,35,20,18.72,0.82,0.76,5.16,3.38,0.26,Wheat
6.08,0.33,3.33,77,31,23,15.0,0.96,0.91,4.36,2.03,0.3,Wheat
6.45,0.25,3.43,78,37,22,18.68,0.97,0.91,5.47,2.25,0.32,Wheat
6.94,0.4,3.14,65,30,22,17.53,0.82,0.77,5.87,2.52,0.34,Wheat
6.0,0.22,3.78,74,35,22,16.34,0.9,0.81,5.58,2.5,0.35,Wheat
6.34,0.35,3.89,72,35,24,18.58,0.94,0.77,4.09,2.94,0.25,Wheat
6.27,0.22,3.39,74,39,21,18.44,0.87,0.91,4.86,2.4,0.31,Wheat
6.47,0.33,3.28,63,32,24,17.61,0.87,0.77,4.98,2.24,0.28,Wheat
6.15,0.23,3.41,64,34,22,15.78,0.95,0.92,5.52,3.49,0.26,Wheat
6.99,0.29,3.48,71,32,20,16.37,0.99,0.88,4.92,2.38,0.33,Wheat
6.9,0.28,3.65,70,37,20,19.51,0.88,0.81,5.28,2.45,0.28,Wheat
6.42,0.33,3.1,60,39,23,15.34,0.84,0.8,5.6,3.49,0.31,Wheat
6.41,0.33,3.39,70,39,24,18.04,0.83,0.79,5.12,2.58,0.29,Wheat
6.89,0.28,3.96,65,38,22,15.77,0.82,0.91,5.56,3.0,0.31,Wheat
6.59,0.31,3.67,76,36,24,19.54,0.9,0.87,5.29,2.26,0.28,Wheat
6.81,0.39,3.45,63,32,24,15.94,0.95,0.95,5.36,3.15,0.26,Wheat
6.58,0.24,3.83,69,33,21,15.5,0.91,0.86,4.54,2.68,0.33,Wheat
6.06,0.31,3.68,63,38,22,16.81,0.81,0.86,5.12,2.83,0.29,Wheat
6.8,0.23,3.92,79,33,24,19.89,0.98,0.77,4.9,2.09,0.27,Wheat
6.29,0.37,3.47,62,33,23,18.53,0.85,0.94,4.99,2.58,0.27,Wheat
6.83,0.29,3.01,74,35,22,17.7,0.9,0.92,4.42,2.63,0.28,Wheat
6.97,0.38,3.59,78,32,22,17.05,0.86,0.89,5.57,2.18,0.3,Wheat
6.22,0.22,3.97,65,39,23,19.91,0.84,0.8,4.53,3.06,0.34,Wheat
6.87,0.3,3.74,68,35,24,18.74,0.94,0.91,4.98,2.52,0.34,Wheat
6.89,0.2,3.41,75,39,24,15.25,0.97,0.8,5.68,3.21,0.33,Wheat
6.92,0.35,3.42,76,34,24,18.18,0.93,0.92,5.92,3.46,0.34,Wheat
6.53,0.38,3.41,70,31,24,19.01,0.95,0.82,5.09,3.37,0.34,Wheat
6.48,0.29,3.33,65,36,22,17.96,0.95,0.75,5.46,2.46,0.35,Wheat
6.49,0.31,3.02,61,31,23,18.43,0.82,0.82,4.6,3.29,0.35,Wheat
6.12,0.21,3.19,77,38,22,17.32,0.82,0.92,6.0,3.03,0.29,Wheat
6.92,0.3,3.2,66,34,23,15.47,0.95,0.76,4.05,2.2,0.25,Wheat
6.11,0.26,3.4,69,30,24,18.65,0.81,0.9,4.32,3.0,0.25,Wheat
6.24,0.21,3.21,64,35,21,18.99,0.84,0.95,5.79,2.0,0.32,Wheat
6.33,0.24,3.81,76,39,21,19.35,0.93,0.89,4.01,2.1,0.34,Wheat
6.17,0.4,3.08,65,37,21,17.74,0.88,0.84,5.06,2.65,0.28,Wheat
6.24,0.36,3.72,76,39,21,16.9,0.83,0.91,4.08,2.62,0.33,Wheat
6.43,0.23,3.9,66,33,24,19.12,0.85,0.83,5.1,2.75,0.35,Wheat
6.77,0.37,3.2,68,32,24,17.6,0.91,0.78,4.58,3.15,0.33,Wheat
6.62,0.38,3.3,68,37,20,17.06,0.99,0.83,4.36,2.55,0.29,Wheat
6.43,0.34,3.98,79,33,23,18.89,0.87,0.76,4.59,3.28,0.28,Wheat
6.86,0.32,3.23,73,33,24,15.37,0.93,0.89,5.9,3.23,0.34,Wheat
6.27,0.24,3.66,74,34,20,18.75,0.8,0.87,5.32,3.37,0.34,Wheat
6.38,0.23,3.19,73,34,24,19.67,0.82,0.83,5.0,2.13,0.34,Wheat
6.49,0.39,3.07,71,32,23,18.63,0.99,0.85,5.65,3.09,0.33,Wheat
6.37,0.37,3.06,75,32,24,16.01,0.97,0.77,4.58,2.39,0.31,Wheat
6.98,0.29,3.15,75,38,21,17.55,0.99,0.83,4.42,2.33,0.3,Wheat
6.15,0.31,3.7,68,39,21,18.22,0.81,0.95,5.54,2.16,0.28,Wheat
6.48,0.37,3.0,60,37,23,17.9,0.93,0.75,4.35,2.14,0.3,Wheat
6.56,0.38,3.2,67,39,24,17.42,0.82,0.83,4.38,2.09,0.3,Wheat
6.91,0.32,3.75,73,31,20,16.95,0.91,0.93,4.41,3.13,0.26,Wheat
6.14,0.38,3.22,65,30,21,16.16,0.82,0.86,4.34,2.3,0.26,Wheat
6.93,0.3,3.92,68,36,23,15.66,0.94,0.91,4.01,2.48,0.32,Wheat
6.1,0.26,3.72,76,39,21,18.26,0.82,0.92,4.81,3.06,0.26,Wheat
6.87,0.35,3.1,77,38,20,16.05,0.98,0.86,5.23,2.43,0.28,Wheat
6.65,0.25,3.42,63,39,24,19.51,0.87,0.79,5.32,2.59,0.29,Wheat
6.91,0.29,3.12,60,34,24,19.86,0.96,0.85,4.31,2.4,0.27,Wheat
6.2,0.27,3.06,71,34,20,16.46,0.88,0.75,5.6,3.39,0.28,Wheat
6.42,0.26,3.57,75,30,22,15.01,0.87,0.77,4.41,3.18,0.27,Wheat
6.79,0.21,3.81,70,37,23,19.76,0.95,0.79,5.7,3.18,0.3,Wheat
6.54,0.3,3.24,79,39,24,17.78,0.92,0.82,5.13,3.4,0.3,Wheat
6.41,0.27,3.53,69,34,22,19.44,0.9,0.8,5.26,3.05,0.31,Wheat
6.72,0.33,3.47,63,34,21,15.66,0.97,0.78,5.67,2.19,0.31,Wheat
6.42,0.29,3.79,63,39,21,18.92,0.89,0.87,4.76,3.25,0.34,Wheat
6.87,0.27,3.2,60,36,21,18.6,0.95,0.89,4.31,2.28,0.32,Wheat
6.78,0.33,3.37,79,30,21,20.0,0.88,0.78,4.67,2.88,0.29,Wheat
6.08,0.34,3.02,77,33,22,17.53,0.84,0.84,4.59,2.54,0.33,Wheat
6.94,0.38,3.68,65,32,21,18.3,0.82,0.89,4.77,2.14,0.34,Wheat
6.6,0.24,3.23,60,30,21,18.26,0.91,0.9,5.89,3.49,0.35,Wheat
6.0,0.37,3.98,64,38,22,17.32,0.83,0.91,5.44,2.83,0.29,Wheat
6.27,0.38,3.54,73,30,22,15.14,0.83,0.79,4.23,3.18,0.32,Wheat
6.22,0.3,3.58,71,31,24,19.63,0.94,0.8,5.6,3.49,0.25,Wheat
6.09,0.26,3.22,66,31,20,19.25,0.95,0.9,4.15,3.12,0.3,Wheat
6.56,0.34,3.05,77,37,21,15.96,0.84,0.85,4.44,2.6,0.3,Wheat
6.03,0.22,3.48,78,34,22,18.11,0.85,0.9,4.74,2.75,0.29,Wheat
6.14,0.36,3.67,78,36,23,17.17,0.99,0.92,5.02,2.05,0.34,Wheat
6.41,0.35,3.95,60,35,22,15.98,0.83,0.8,4.84,2.81,0.28,Wheat
6.78,0.22,3.19,69,39,23,18.99,0.88,0.92,4.02,2.71,0.29,Wheat
6.85,0.25,3.24,79,30,23,18.54,0.84,0.84,4.45,3.34,0.33,Wheat
6.41,0.22,3.07,77,38,24,15.27,0.96,0.82,4.13,3.37,0.34,Wheat
6.64,0.28,3.5,79,31,21,19.25,0.88,0.82,4.48,2.78,0.26,Wheat
6.1,0.29,3.72,77,36,24,17.76,0.9,0.79,5.85,3.49,0.26,Wheat
6.64,0.27,3.62,62,37,23,19.99,0.98,0.76,4.4,3.5,0.33,Wheat
6.41,0.34,3.94,60,34,24,17.54,0.98,0.76,4.97,2.22,0.34,Wheat
6.95,0.21,3.92,79,31,21,19.71,1.0,0.9,5.79,2.94,0.26,Wheat
6.43,0.36,3.95,65,33,22,17.73,0.84,0.78,5.27,3.02,0.26,Wheat
6.85,0.37,3.34,68,37,20,16.05,0.8,0.83,4.07,3.45,0.35,Wheat
6.82,0.36,3.49,64,33,20,15.34,0.85,0.9,5.81,3.38,0.28,Wheat
6.73,0.28,3.67,61,33,24,15.8,0.91,0.89,4.74,2.69,0.32,Wheat
6.71,0.29,3.13,77,31,24,18.6,0.85,0.76,4.06,2.35,0.28,Wheat
6.68,0.38,3.26,71,36,21,15.88,0.99,0.82,4.58,2.91,0.27,Wheat
6.65,0.35,3.48,77,35,24,16.7,0.86,0.92,5.93,3.44,0.3,Wheat
6.5,0.3,3.71,61,38,24,19.06,0.95,0.83,5.64,3.15,0.27,Wheat
6.97,0.26,3.15,70,38,22,15.47,0.87,0.94,4.85,2.38,0.29,Wheat
6.31,0.29,3.54,67,38,24,17.58,1.0,0.88,4.6,2.55,0.27,Wheat
6.88,0.33,3.84,66,30,20,19.78,0.95,0.9,4.86,2.13,0.26,Wheat
6.04,0.35,3.14,66,38,21,15.87,0.95,0.8,4.95,3.03,0.29,Wheat
6.07,0.32,3.39,71,39,24,16.14,0.95,0.77,5.6,2.73,0.25,Wheat
6.58,0.23,3.1,77,31,20,19.48,0.89,0.85,4.21,2.86,0.3,Wheat
6.22,0.37,3.9,67,38,24,16.46,0.91,0.88,4.8,2.96,0.31,Wheat
6.62,0.38,3.05,72,32,21,18.62,0.82,0.77,5.49,2.34,0.3,Wheat
6.04,0.37,3.62,65,36,21,19.17,0.99,0.82,4.66,2.84,0.25,Wheat
6.83,0.21,3.06,72,31,24,15.89,0.94,0.81,4.92,2.96,0.35,Wheat
6.17,0.22,3.36,77,35,22,15.79,0.89,0.77,5.19,2.56,0.33,Wheat
6.74,0.24,3.33,61,38,24,19.53,0.95,0.88,5.39,2.58,0.35,Wheat
6.96,0.3,3.79,70,33,21,17.67,0.85,0.84,5.06,2.07,0.3,Wheat
6.28,0.31,3.26,62,32,20,17.53,0.92,0.86,5.12,2.79,0.26,Wheat
6.5,0.28,3.7,77,32,24,16.28,0.91,0.75,5.46,2.63,0.32,Wheat
6.26,0.36,3.58,65,39,21,17.91,0.8,0.84,4.22,2.48,0.35,Wheat
6.46,0.26,3.43,72,32,21,18.51,0.8,0.94,5.8,2.17,0.25,Wheat
6.1,0.39,3.3,70,30,24,17.04,0.83,0.78,5.53,3.11,0.3,Wheat
6.45,0.36,3.43,60,34,23,19.81,0.98,0.79,4.5,2.45,0.31,Wheat
6.98,0.21,3.07,69,31,20,19.84,0.87,0.9,4.27,3.05,0.29,Wheat
6.19,0.39,3.57,63,31,23,18.26,0.85,0.81,4.98,2.12,0.33,Wheat
6.8,0.25,3.69,73,31,21,16.35,0.92,0.92,5.01,2.38,0.27,Wheat
6.45,0.36,3.57,73,30,21,17.13,0.93,0.92,4.61,2.97,0.34,Wheat
6.04,0.36,3.35,79,31,23,19.74,0.8,0.88,5.14,3.45,0.29,Wheat
6.22,0.29,3.16,65,32,23,17.33,0.98,0.76,5.47,2.94,0.35,Wheat
6.57,0.38,3.85,70,36,20,17.59,0.82,0.82,4.68,2.47,0.26,Wheat
6.44,0.3,3.58,74,33,22,19.87,0.94,0.93,4.76,3.42,0.26,Wheat
6.74,0.35,3.23,73,32,21,15.69,0.96,0.9,4.45,2.46,0.34,Wheat
6.87,0.33,3.08,61,36,23,19.46,0.96,0.75,5.47,2.73,0.25,Wheat
6.3,0.37,3.81,62,31,22,17.7,0.89,0.95,5.15,3.08,0.32,Wheat
6.73,0.28,3.67,76,34,21,18.75,0.96,0.75,5.05,2.12,0.31,Wheat
6.72,0.25,3.93,60,33,22,17.68,0.87,0.76,5.69,3.31,0.29,Wheat
7.0,0.39,3.29,66,31,20,16.41,0.96,0.76,5.9,3.44,0.29,Wheat
6.41,0.36,3.7,63,35,23,17.71,0.86,0.81,5.93,2.4,0.29,Wheat
6.33,0.29,3.86,67,37,23,18.37,0.87,0.86,5.8,3.3,0.29,Wheat
6.53,0.25,3.12,66,39,24,18.52,1.0,0.93,4.65,2.49,0.33,Wheat
6.76,0.33,3.31,79,39,21,19.56,0.81,0.82,5.02,3.12,0.29,Wheat
6.03,0.21,3.89,65,35,24,17.52,1.0,0.77,4.79,2.73,0.28,Wheat
6.45,0.34,3.97,66,37,23,17.0,0.83,0.82,4.22,3.49,0.33,Wheat
6.06,0.28,3.49,76,31,22,18.31,0.82,0.94,4.44,3.04,0.25,Wheat
6.75,0.35,3.31,76,35,20,16.8,0.89,0.83,5.56,3.28,0.27,Wheat
6.93,0.22,3.26,71,39,21,18.64,0.93,0.83,5.73,2.22,0.31,Wheat
6.23,0.28,3.02,67,37,24,17.83,0.93,0.81,4.05,2.26,0.29,Wheat
6.96,0.33,3.41,76,35,22,19.98,0.91,0.76,4.14,2.58,0.27,Wheat
6.43,0.21,3.63,72,32,21,17.24,0.81,0.82,4.1,2.63,0.32,Wheat
6.39,0.23,3.8,67,34,20,17.23,0.89,0.92,5.24,3.06,0.25,Wheat
6.75,0.2,3.09,68,35,24,19.79,0.97,0.8,4.57,3.21,0.31,Wheat
6.89,0.33,3.4,65,36,23,15.06,0.84,0.94,5.06,2.63,0.28,Wheat
6.16,0.27,3.61,67,32,24,18.07,0.83,0.92,4.83,2.54,0.27,Wheat
6.05,0.22,3.71,73,37,22,17.88,0.99,0.76,5.39,2.91,0.32,Wheat
6.91,0.28,3.04,69,37,21,17.18,0.82,0.9,5.64,2.59,0.32,Wheat
6.09,0.23,3.78,73,39,21,16.24,0.91,0.84,5.85,3.1,0.34,Wheat
6.32,0.21,3.82,73,33,22,17.02,0.98,0.88,4.7,2.24,0.32,Wheat
6.08,0.34,3.54,60,39,20,15.82,0.86,0.88,5.5,3.27,0.31,Wheat
6.0,0.38,3.19,63,30,22,18.82,0.95,0.87,5.46,2.02,0.29,Wheat
6.51,0.32,3.83,77,36,22,15.66,1.0,0.8,5.87,2.39,0.32,Wheat
6.77,0.26,3.94,74,35,20,17.85,0.93,0.86,4.43,2.55,0.34,Wheat
6.92,0.39,3.21,74,30,20,15.89,0.92,0.91,5.17,3.18,0.27,Wheat
6.49,0.23,3.44,66,31,20,19.57,0.98,0.85,5.53,3.06,0.3,Wheat
6.7,0.26,3.32,67,30,24,18.71,0.88,0.81,4.14,2.91,0.34,Wheat
6.08,0.37,3.67,62,33,22,15.56,0.82,0.86,5.18,2.86,0.3,Wheat
6.05,0.33,3.45,72,32,23,19.17,0.86,0.77,5.79,3.45,0.26,Wheat
6.07,0.28,3.72,78,39,24,19.42,0.85,0.78,5.68,3.08,0.3,Wheat
6.14,0.35,3.28,78,39,24,19.35,0.83,0.81,5.35,2.22,0.3,Wheat
6.58,0.34,3.68,74,36,22,15.38,0.93,0.94,5.11,2.48,0.32,Wheat
6.52,0.33,3.39,68,37,20,16.1,0.81,0.93,5.48,3.44,0.25,Wheat
6.3,0.24,3.92,63,30,23,19.22,0.85,0.78,4.24,2.59,0.32,Wheat
6.89,0.23,3.25,67,35,20,18.79,0.98,0.93,4.05,2.38,0.25,Wheat
6.83,0.4,3.88,78,31,22,16.44,0.91,0.93,5.79,2.22,0.27,Wheat
6.77,0.25,3.79,60,32,24,16.5,0.95,0.77,4.5,2.9,0.26,Wheat
6.94,0.35,3.36,65,32,23,17.1,0.9,0.79,4.54,3.27,0.31,Wheat
6.97,0.33,3.27,76,36,24,19.97,0.83,0.8,5.59,2.08,0.34,Wheat
6.7,0.24,3.49,70,31,24,18.65,0.84,0.83,4.22,2.79,0.31,Wheat
6.77,0.31,3.3,71,33,21,19.85,0.97,0.87,5.21,2.4,0.26,Wheat
6.71,0.31,3.17,79,31,21,16.23,0.94,0.77,5.39,3.2,0.29,Wheat
6.96,0.39,3.93,60,32,21,15.82,0.99,0.78,5.95,3.06,0.34,Wheat
6.08,0.23,3.54,71,30,20,18.64,0.92,0.82,5.24,3.31,0.27,Wheat
6.85,0.3,3.03,75,35,21,16.09,0.88,0.92,4.23,2.28,0.28,Wheat
6.36,0.33,3.84,61,37,21,18.1,0.86,0.92,5.68,2.79,0.31,Wheat
6.16,0.4,3.9,70,34,24,17.18,0.95,0.89,4.02,2.13,0.3,Wheat
6.58,0.38,3.93,79,39,24,17.15,0.89,0.8,4.75,2.62,0.26,Wheat
6.33,0.37,3.82,72,32,21,19.24,0.85,0.84,4.87,3.18,0.32,Wheat
6.06,0.22,3.54,62,34,23,17.55,0.87,0.81,5.42,2.71,0.26,Wheat
6.58,0.22,3.37,64,33,22,18.11,0.94,0.81,5.36,2.87,0.31,Wheat
6.61,0.39,3.1,60,34,24,16.22,0.95,0.92,5.78,2.38,0.31,Wheat
6.97,0.25,3.15,79,30,21,19.48,0.84,0.82,5.66,2.34,0.32,Wheat
6.24,0.33,3.04,60,39,23,17.62,0.83,0.93,5.96,3.38,0.29,Wheat
6.74,0.3,3.83,70,34,21,15.95,0.95,0.85,4.95,2.75,0.34,Wheat
6.21,0.31,3.28,62,35,23,16.25,0.9,0.94,4.25,2.56,0.28,Wheat
6.52,0.22,3.83,77,30,21,17.95,0.87,0.9,4.66,2.3,0.27,Wheat
6.63,0.39,3.91,60,35,24,15.32,0.85,0.86,4.44,3.48,0.3,Wheat
6.41,0.3,3.06,60,30,20,16.22,0.89,0.78,4.4,3.15,0.3,Wheat
6.95,0.36,3.2,74,33,23,19.59,0.99,0.8,5.16,3.23,0.34,Wheat
6.24,0.39,3.03,62,38,23,19.19,0.87,0.9,4.68,3.31,0.29,Wheat
6.68,0.39,3.24,70,36,21,16.47,0.92,0.88,4.8,3.08,0.27,Wheat
6.65,0.27,3.51,63,35,21,18.58,0.85,0.78,4.65,2.88,0.3,Wheat
6.05,0.32,3.01,79,38,23,15.15,0.96,0.76,5.24,2.06,0.33,Wheat
6.68,0.21,3.89,61,39,23,16.05,0.92,0.93,4.35,2.73,0.28,Wheat
6.77,0.26,3.67,62,30,22,18.14,0.86,0.91,4.54,3.49,0.28,Wheat
6.06,0.31,3.53,71,36,20,15.41,0.96,0.84,4.12,2.29,0.25,Wheat
6.52,0.3,3.29,66,37,24,16.79,0.97,0.87,4.48,3.26,0.31,Wheat
6.34,0.38,3.07,62,39,20,17.99,0.94,0.76,5.52,2.31,0.29,Wheat
6.13,0.23,3.46,69,31,20,19.65,0.96,0.78,5.48,3.13,0.32,Wheat
6.36,0.22,3.31,64,37,22,17.9,0.98,0.85,4.3,2.98,0.26,Wheat
6.33,0.38,3.7,67,39,21,17.28,0.98,0.81,5.82,3.46,0.28,Wheat
6.67,0.28,3.22,63,34,21,16.27,0.81,0.83,5.8,2.4,0.35,Wheat
6.37,0.35,3.08,70,37,22,17.96,0.9,0.89,4.74,2.15,0.28,Wheat
6.81,0.37,3.52,67,33,23,18.04,0.82,0.83,4.61,2.82,0.31,Wheat
6.34,0.3,3.34,60,32,23,17.92,0.99,0.88,4.5,3.0,0.32,Wheat
6.88,0.25,3.05,73,31,21,19.38,0.86,0.93,4.52,2.39,0.28,Wheat
6.08,0.34,3.15,69,35,23,17.72,0.92,0.89,4.53,2.22,0.3,Wheat
6.87,0.35,3.74,61,37,20,19.88,0.88,0.87,5.98,2.7,0.26,Wheat
6.79,0.23,3.1,69,36,20,17.98,0.91,0.9,4.97,2.79,0.26,Wheat
6.14,0.32,3.63,68,33,22,19.31,0.83,0.87,5.46,2.35,0.3,Wheat
6.56,0.3,3.1,61,34,23,19.35,0.9,0.94,4.19,3.05,0.27,Wheat
6.27,0.32,3.99,79,35,24,15.4,0.86,0.8,5.97,3.04,0.28,Wheat
6.64,0.24,3.32,61,31,22,19.43,0.97,0.91,5.29,2.08,0.25,Wheat
6.77,0.28,3.48,67,37,24,16.82,0.82,0.88,4.96,3.27,0.33,Wheat
6.71,0.22,3.28,60,37,24,19.5,0.97,0.94,5.59,3.3,0.28,Wheat
6.03,0.29,3.9,73,32,20,15.78,0.91,0.87,4.08,3.11,0.29,Wheat
6.24,0.28,3.5,62,39,24,18.52,0.88,0.81,4.43,2.18,0.34,Wheat
6.96,0.39,3.85,64,33,21,19.66,0.91,0.95,5.89,2.91,0.27,Wheat
6.65,0.4,3.75,72,39,21,17.19,0.9,0.82,5.39,2.78,0.27,Wheat
6.08,0.31,3.79,78,30,23,18.28,0.83,0.91,5.56,2.4,0.32,Wheat
6.53,0.31,3.54,65,37,23,18.86,0.98,0.83,4.23,3.01,0.26,Wheat
6.34,0.27,3.75,67,30,22,17.92,0.89,0.92,4.66,2.84,0.29,Wheat
6.48,0.35,3.41,68,38,20,17.04,0.96,0.9,4.98,2.77,0.33,Wheat
6.73,0.23,3.82,78,38,22,16.71,0.88,0.88,4.05,2.02,0.31,Wheat
6.43,0.25,3.2,68,36,24,15.43,0.8,0.76,5.99,2.29,0.33,Wheat
6.95,0.37,3.16,76,31,24,19.89,0.87,0.91,5.16,2.71,0.34,Wheat
6.9,0.32,3.72,79,33,22,19.16,0.88,0.94,5.86,2.22,0.27,Wheat
6.38,0.38,3.75,62,35,23,17.71,0.88,0.78,4.3,3.04,0.3,Wheat
